FIPS_county,FIPS_county_name,FIPS_state,FIPS_state_short
01000,Alabama,01,AL
01001,Autauga County,01,AL
01003,Baldwin County,01,AL
01005,Barbour County,01,AL
01007,Bibb County,01,AL
01009,Blount County,01,AL
01011,Bullock County,01,AL
01013,Butler County,01,AL
01015,Calhoun County,01,AL
01017,Chambers County,01,AL
01019,Cherokee County,01,AL
01021,Chilton County,01,AL
01023,Choctaw County,01,AL
01025,Clarke County,01,AL
01027,Clay County,01,AL
01029,Cleburne County,01,AL
01031,Coffee County,01,AL
01033,Colbert County,01,AL
01035,Conecuh County,01,AL
01037,Coosa County,01,AL
01039,Covington County,01,AL
01041,Crenshaw County,01,AL
01043,Cullman County,01,AL
01045,Dale County,01,AL
01047,Dallas County,01,AL
01049,DeKalb County,01,AL
01051,Elmore County,01,AL
01053,Escambia County,01,AL
01055,Etowah County,01,AL
01057,Fayette County,01,AL
01059,Franklin County,01,AL
01061,Geneva County,01,AL
01063,Greene County,01,AL
01065,Hale County,01,AL
01067,Henry County,01,AL
01069,Houston County,01,AL
01071,Jackson County,01,AL
01073,Jefferson County,01,AL
01075,Lamar County,01,AL
01077,Lauderdale County,01,AL
01079,Lawrence County,01,AL
01081,Lee County,01,AL
01083,Limestone County,01,AL
01085,Lowndes County,01,AL
01087,Macon County,01,AL
01089,Madison County,01,AL
01091,Marengo County,01,AL
01093,Marion County,01,AL
01095,Marshall County,01,AL
01097,Mobile County,01,AL
01099,Monroe County,01,AL
01101,Montgomery County,01,AL
01103,Morgan County,01,AL
01105,Perry County,01,AL
01107,Pickens County,01,AL
01109,Pike County,01,AL
01111,Randolph County,01,AL
01113,Russell County,01,AL
01115,St. Clair County,01,AL
01117,Shelby County,01,AL
01119,Sumter County,01,AL
01121,Talladega County,01,AL
01123,Tallapoosa County,01,AL
01125,Tuscaloosa County,01,AL
01127,Walker County,01,AL
01129,Washington County,01,AL
01131,Wilcox County,01,AL
01133,Winston County,01,AL
02000,Alaska,02,AK
02013,Aleutians East Borough,02,AK
02016,Aleutians West Census Area,02,AK
02020,Anchorage Borough,02,AK
02050,Bethel Census Area,02,AK
02060,Bristol Bay Borough,02,AK
02068,Denali Borough                         (created after 1990),02,AK
02070,Dillingham Census Area,02,AK
02090,Fairbanks North Star Borough,02,AK
02100,Haines Borough,02,AK
02110,Juneau Borough,02,AK
02122,Kenai Peninsula Borough,02,AK
02130,Ketchikan Gateway Borough,02,AK
