Category;Count
Restaurant;47030
Fast food restaurant;11014
Takeout Restaurant;9126
Pizza restaurant;9536
Mexican restaurant;7456
Juice shop;2651
Hamburger restaurant;2550
Asian restaurant;2244
Barbecue restaurant;2171
Delivery Restaurant;4690
Pizza Takeout;2960
Seafood restaurant;2467
Chicken restaurant;1799
Lounge;1795
Cake shop;1653
Sushi restaurant;1464
Salad shop;1191
Taco restaurant;1354
Bagel shop;1310
Diner;1166
Espresso bar;1483
Latin American restaurant;1047
Buffet restaurant;547
Tea house;1070
Ice cream shop;6046
Bakery;9603
Coffee store;2039
Wine bar;1549
Caterer;9572
Chicken wings restaurant;1778
Candy store;1778
Frozen yogurt shop;1279
Wine store;3620
Pastry shop;653
Food court;604
Fried chicken takeaway;384
Jamaican restaurant;362
New American restaurant;354
Greek restaurant;347
French restaurant;321
Salvadoran restaurant;296
Hawaiian restaurant;295
Organic restaurant;292
Soup restaurant;291
Grill;277
European restaurant;277
Chinese takeaway;210
Delivery Chinese restaurant;200
Dominican restaurant;197
Hot dog stand;190
Brewpub;251
Hot dog restaurant;396
Beer garden;191
Filipino restaurant;171
Pie shop;162
Colombian restaurant;142
Pakistani restaurant;140
Japanese steakhouse;70
Ramen restaurant;217
Sushi takeaway;123
Irish pub;127
Vietnamese restaurant;790
Ethiopian restaurant;89
Turkish restaurant;85
Creole restaurant;85
Korean barbecue restaurant;85
Cider bar;81
Oyster bar restaurant;80
Taiwanese restaurant;76
Hot pot restaurant;73
West African restaurant;72
Rice restaurant;70
Dim sum restaurant;69
Fusion restaurant;67
Mexican torta restaurant;66
Californian restaurant;64
Guatemalan restaurant;64
Sichuan restaurant;60
Teppanyaki restaurant;53
South American restaurant;51
Afghani restaurant;49
Ecuadorian restaurant;55
Pan-Asian restaurant;57
Peruvian restaurant;218
Authentic Japanese restaurant;40
Moroccan restaurant;35
East African restaurant;35
Russian restaurant;35
Laotian restaurant;33
Irish restaurant;32
Polish restaurant;33
Modern Indian restaurant;35
Cambodian restaurant;27
Mongolian barbecue restaurant;28
Izakaya restaurant;23
Japanese curry restaurant;21
Hunan restaurant;20
Neapolitan restaurant;14
Shanghainese restaurant;13
Fondue restaurant;13
Shawarma restaurant;12
Conveyor belt sushi restaurant;12
Pacific Northwest restaurant (US);12
Pan-Latin restaurant;12
Po’ boys restaurant;12
Egyptian restaurant;11
Israeli restaurant;11
Nicaraguan restaurant;11
Syrian restaurant;10
Polynesian restaurant;10
Scandinavian restaurant;10
French steakhouse restaurant;8
Sicilian restaurant;5
South African restaurant;8
Chilean restaurant;5
Brazilian pastelaria;5
Yemenite restaurant;4
Sri Lankan restaurant;4
Pacific Rim restaurant;4
Yucatan restaurant;4
Swiss restaurant;3
Austrian restaurant;3
Japanese regional restaurant;3
Costa Rican restaurant;3
Katsudon restaurant;3
Uruguayan restaurant;3
North African restaurant;3
Czech restaurant;3
Porridge restaurant;3
Korean rib restaurant;2
Obanzai restaurant;2
Haute French restaurant;2
Tempura restaurant;2
Tempura donburi restaurant;1
Sfiha restaurant;1
Sukiyaki restaurant;1
Valencian restaurant;1
Icelandic restaurant;1
Paraguayan restaurant;1
Provence restaurant;1
Scottish restaurant;1
Kushiyaki restaurant;1
Pueblan restaurant;1
Roman restaurant;1
Croatian restaurant;1
Kaiseki restaurant;1
Anago restaurant;1
Madrilian restaurant;1
Anhui restaurant;1
Shandong restaurant;1
Turkmen restaurant;1
Asian;1
